EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação
7896007540259;C;ABSORVENTE INTIMUS DAYS C/15 S/ABAS S/PERFUME ;Drogal;5.79;6.11;Drogal;5.79;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE
7891010245603;D;ABSORVENTE OB PROCOMFORT MEDIO C/8;Drogal;14.09;10.33;DROGACENTRO;10.33;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE
7899706178204;D;ANTHELIOS AE PIGMENT CLARA FPS50 40G;Drogal;134.39;139.6;Drogal;134.39;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7891010974312;C;ANTISSEPTICO BUCAL LISTERINE COOL MINT REF SUAVE S/ALC 500ML;Drogaven;26.36;31.57;Drogaven;26.36;PRINCIPAL > PERFUMARIA > HIGIENE > ORAL > ANTISSEPTICO BUCAL
7702018037803;C;APARELHO DE BARBEAR GILETTE MACH 3 SENSITIVE C/ 1 UN;Drogal;34.65;25.64;DROGACENTRO;25.64;PRINCIPAL > PERFUMARIA > MASCULINO > BARBA/BIGODE > APARELHO/CARGA/LAMINA/NAVALHA
7891106908221;C;BEPANTOL BABY 60G;Drogaven;36.16;32.7;DROGACENTRO;32.7;PRINCIPAL > MEDICAMENTOS > REFERENCIA > z MIP (excluir)
7896512914231;C;CERA NUTRI UNHAS CUTICULA PINK 7G;Drogal;27.79;28.72;Drogal;27.79;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > HIDRATANTE
3499320011655;C;CETAPHIL OPTIMAL HYDRATION CREME FACIAL 48G;Drogaven;111.16;139.2;Drogaven;111.16;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7908615000169;B;CICAPLAST BAUME B5 20ML;Drogal;50.35;57.1;Drogal;50.35;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7891350040029;D;CONDICIONADOR BOZZANO CACHOS E CRESPOS 200ML;Drogal;22.75;20.59;DROGACENTRO;20.59;PRINCIPAL > PERFUMARIA > MASCULINO > CABELO MASC > CONDICIONADOR
7891150075306;D;CONDICIONADOR DOVE HIDRA LISO 400ML;Drogal;43.95;33.9;DROGACENTRO;33.9;PRINCIPAL > PERFUMARIA > CABELO > CONDICIONADOR
7899026459649;D;CONDICIONADOR ELSEVE COLORVIVE 400ML;Drogal;38.19;36.0;DROGACENTRO;36.0;PRINCIPAL > PERFUMARIA > CABELO > CONDICIONADOR
7891033519354;C;CONDICIONADOR GLICERINA PAMPERS 200ML;Drogal;18.59;28.5;Drogal;18.59;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > CONDICIONADOR
7896000705921;C;COR&TON CREME 50GR CHOCOLATE 6.7;Drogaven;19.3;15.79;DROGACENTRO;15.79;PRINCIPAL > PERFUMARIA > CABELO > TINTURA/TONALIZANTE
7891010560737;A;COTONETE J&J C/75;Drogaven;8.81;8.27;DROGACENTRO;8.27;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > HASTE/COTONETE
7899852020211;D;CREME FACIAL VULT HIDRATANTE 100G ANTISSINAIS	;Drogal;25.95;34.18;Drogal;25.95;PRINCIPAL > PERFUMARIA > BELEZA > ROSTO > CREME
7500435142168;C;CREME PENTEAR PANTENE UNIDAS PELOS CACHOS 225ML;Drogal;60.45;43.6;DROGACENTRO;43.6;PRINCIPAL > PERFUMARIA > CABELO > CREME
7908458326150;C;CREME PENTEAR SALON LINE KIDS CHOCOLATE 1KG;Drogaven;39.1;39.06;DROGACENTRO;39.06;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > CREME PENTEAR/ATIVADOR/TRATAMENTO/MASCARA
7791293033235;C;DESODORANTE DOVE AEROSOL BEAUTY FINISH;Drogaven;22.44;23.03;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO
4005900449559;C;DESODORANTE NIVEA AERO MEN INVISIBLE FRESH BLACK&WHITE 150ML;Drogal;17.99;13.79;DROGACENTRO;13.79;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC
7791293032498;D;DESODORANTE REXONA AEROSOL FEM BAMBOO 90G/150ML;Drogaven;19.5;20.37;Drogaven;19.5;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO
7791293051581;D;DESODORANTE REXONA AEROSOL MASC BODY ACTIVE FRESH 150ML;Drogaven;25.11;20.1;DROGACENTRO;20.1;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC
7612412156003;C;ESCOVA DENTAL CURAPROX MACIA 1560;Drogal;41.09;44.21;Drogal;41.09;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > ESCOVA DENTAL
7500435014359;C;ESCOVA DENTAL ORAL B 123 LV3 PG2;Drogal;13.15;12.32;DROGACENTRO;12.32;PRINCIPAL > PERFUMARIA > HIGIENE > ORAL > ESCOVA DENTAL
7899026414464;B;ESMALTE COLORAMA LEITE DE COCO;Drogal;6.79;5.01;DROGACENTRO;5.01;PRINCIPAL > PERFUMARIA > BELEZA > ESMALTES
7896111995303;C;ESMALTE IMPALA A COR DA SUA MODA ADMIRE;Drogal;6.39;5.27;DROGACENTRO;5.27;PRINCIPAL > PERFUMARIA > BELEZA > ESMALTES
7896877602590;A;FRALDA GERIATRICA SUAVIDADE M C/9;Drogaven;22.44;20.78;DROGACENTRO;20.78;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > FRALDA GERIATRICA
