EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação;Preço Drogaven;Preço Drogal;Preço DrogaRaia
7506339325249;B;ABSORVENTE ALWAYS ACTIVE NOTURNO LV16 PG14 C/ABAS;Drogal;17.25;17.61;Drogal;17.25;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;18.56;17.25;0
7500435126199;C;ABSORVENTE ALWAYS BASICO SUAVE C/32 UN;Drogal;16.79;18.59;Drogal;16.79;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.89;16.79;0
7500435127240;C;ABSORVENTE ALWAYS BASICO SUAVE C/ABAS C/8;Drogal;4.79;5.02;Drogal;4.79;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.38;4.79;0
7506339394603;B;ABSORVENTE ALWAYS SUAVE NOTURNO LV8 PG7 C/ABAS;Drogaven;11.33;8.89;DROGACENTRO;8.89;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;11.33;0;0
7500435127233;C;ABSORVENTE ALWAYS SUPER PROTECAO SECA C/ABAS C/16;Drogal;8.25;9.1;Drogal;8.25;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.81;8.25;0
7891010087722;B;ABSORVENTE CAREFREE CONTOUR C/15;Drogal;7.55;7.9;Drogal;7.55;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;9.16;7.55;0
7891010618780;C;ABSORVENTE CAREFREE FLEX S/PERF. LV80 PG60;Drogal;22.79;27.69;Drogal;22.79;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;28.41;22.79;0
7891010875596;C;ABSORVENTE CAREFREE P DIARIO PROT S/PERF C/40;Drogaven;16.6;15.94;DROGACENTRO;15.94;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;16.6;0;0
7891010576509;C;ABSORVENTE CAREFREE PROTECAO C/PERF. LV80 PG60;Drogal;22.79;22.68;DROGACENTRO;22.68;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;26.75;22.79;0
7891010087807;C;ABSORVENTE CAREFREE TODO DIA C/15 SEM PERFUME;Drogaven;9.16;8.2;DROGACENTRO;8.2;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;9.16;0;0
7891010039783;B;ABSORVENTE CAREFREE TODO DIA C/40;Drogal;13.45;15.45;Drogal;13.45;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;16.6;13.45;0
7891010604349;C;ABSORVENTE CAREFREE TODO DIA S/PERFUME C/80;Drogal;22.79;23.21;Drogal;22.79;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;26.75;22.79;0
7896007544059;B;ABSORVENTE INTIMUS COBERTURA SECA C/ABAS C/32;Drogal;14.35;14.57;Drogal;14.35;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;18.61;14.35;0
7896007544042;A;ABSORVENTE INTIMUS COBERTURA SUAVE C/ABAS C/32;Drogal;14.35;17.14;Drogal;14.35;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;18.61;14.35;0
7896007541959;C;ABSORVENTE INTIMUS DAYS C/15 S/ABAS C/PERFUME;Drogaven;6.07;6.11;Drogaven;6.07;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;6.07;0;0
7896007540259;C;ABSORVENTE INTIMUS DAYS C/15 S/ABAS S/PERFUME ;Drogal;5.55;6.11;Drogal;5.55;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.87;5.55;0
7896007550463;B;ABSORVENTE INTIMUS DAYS PROT DIARIO ANTIBACTERIANA C/15UN;Drogal;5.55;6.18;Drogal;5.55;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.87;5.55;0
7896007542482;C;ABSORVENTE INTIMUS DAYS S/ABAS LV40 PG30;Drogal;11.85;12.31;Drogal;11.85;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;13.38;11.85;0
7896007542499;C;ABSORVENTE INTIMUS DAYS TEEN S/ABAS LV40 PG 35;Drogaven;12.34;13.24;Drogaven;12.34;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;12.34;0;0
7896007550807;B;ABSORVENTE INTIMUS GEL DIA E NOITE EXTRA SUAVE ULTRA C/14;Drogaven;14.69;15.13;Drogaven;14.69;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;14.69;0;0
7896007550814;B;ABSORVENTE INTIMUS GEL DIA E NOITE EXTRA SUAVE ULTRA C/28;Drogal;20.45;28.85;Drogal;20.45;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;29.39;20.45;0
7896007545100;B;ABSORVENTE INTIMUS GEL LV16 PG14 C/ABAS COBERT.SECA ;Drogaven;8.81;8.22;DROGACENTRO;8.22;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.81;0;0
7896007542437;B;ABSORVENTE INTIMUS GEL NOTURNO SECA C/ ABAS C/8 UNID;Drogal;8.05;7.76;DROGACENTRO;7.76;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.11;8.05;0
7896007550906;B;ABSORVENTE INTIMUS GEL NOTURNO SECA C/ABAS C/30 UNIDADES;Drogal;18.99;24.33;Drogal;18.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;24.4;18.99;0
7896007540662;B;ABSORVENTE INTIMUS GEL NOTURNO SUAVE C/ ABAS C/8 UNID;Drogaven;7.93;9.31;Drogaven;7.93;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;7.93;0;0
7896007550883;B;ABSORVENTE INTIMUS GEL NOTURNO SUAVEC/ABAS  C/16 UNIDADES;Drogal;13.85;14.24;Drogal;13.85;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;14.59;13.85;0
7896007550890;B;ABSORVENTE INTIMUS GEL NOTURNO SUAVEC/ABAS  C/30 UNIDADES;Drogal;18.99;24.33;Drogal;18.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;24.4;18.99;0
7896007541867;B;ABSORVENTE INTIMUS INTERNO MEDIO C/8;Drogaven;8.81;11.63;Drogaven;8.81;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.81;0;0
7896007542864;B;ABSORVENTE INTIMUS INTERNO MEDIO LV16 PG15;Drogal;17.24;17.44;Drogal;17.24;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.43;17.24;0
7896007541850;C;ABSORVENTE INTIMUS INTERNO MINI C/8;Drogaven;8.81;11.91;Drogaven;8.81;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.81;0;0
7896007542857;C;ABSORVENTE INTIMUS INTERNO MINI LV16 PG15;Drogal;17.24;17.85;Drogal;17.24;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.43;17.24;0
7896007541874;C;ABSORVENTE INTIMUS INTERNO SUPER C/8;Drogaven;8.81;11.63;Drogaven;8.81;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.81;0;0
7896007542871;B;ABSORVENTE INTIMUS INTERNO SUPER LV16 PG15;Drogal;17.24;17.85;Drogal;17.24;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.43;17.24;0
7896007545094;B;ABSORVENTE INTIMUS NORMAL SUAVE C/ABAS LV16 PG14;Drogal;7.65;8.14;Drogal;7.65;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;8.81;7.65;11.05
7896007540631;D;ABSORVENTE INTIMUS SECA C/ABAS C/8;Drogal;4.39;4.57;Drogal;4.39;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.12;4.39;0
7896007540624;B;ABSORVENTE INTIMUS SECA S/ABAS C/8;Drogal;4.39;4.47;Drogal;4.39;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;0;4.39;0
7896007540617;A;ABSORVENTE INTIMUS SUAVE C/ABAS C/8 ;Drogal;4.39;4.47;Drogal;4.39;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.12;4.39;0
7896007540600;D;ABSORVENTE INTIMUS SUAVE S/ABAS C/8;Drogal;4.39;4.57;Drogal;4.39;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.12;4.39;0
7891010245085;C;ABSORVENTE OB PROCOMFORT MEDIO C/16;Drogaven;17.63;18.77;Drogaven;17.63;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.63;0;0
7891010245603;D;ABSORVENTE OB PROCOMFORT MEDIO C/8;Drogaven;11.16;10.33;DROGACENTRO;10.33;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;11.16;0;0
7891010245597;D;ABSORVENTE OB PROCOMFORT MINI C/8;Drogaven;11.16;10.21;DROGACENTRO;10.21;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;11.16;0;0
7891010245092;B;ABSORVENTE OB PROCOMFORT SUPER C/16;Drogaven;17.63;18.77;Drogaven;17.63;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.63;0;0
7891010245610;C;ABSORVENTE OB PROCOMFORT SUPER C/8;Drogaven;11.16;10.21;DROGACENTRO;10.21;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;11.16;0;0
7897211100246;C;ABSORVENTE PARA SEIOS AMAMENTE LEV 30 PG 24;Drogaven;25.47;24.45;DROGACENTRO;24.45;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;25.47;0;0
7896007552498;C;ABSORVENTE POISE PROTETOR LONGO ESCAPE C/ 14;Drogal;9.19;12.32;Drogal;9.19;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;9.69;9.19;0
7896007549382;D;ABSORVENTE PROTETOR PLENITUDE FEMME MEDIO C/14;Drogal;12.29;16.0;Drogal;12.29;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;12.64;12.29;0
7891010254155;C;ABSORVENTE SEMPRE LIVRE ADAPT C/ ABAS C/ 32UN;Drogal;15.09;17.6;Drogal;15.09;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;17.14;15.09;0
7891010035631;D;ABSORVENTE SEMPRE LIVRE ADAPT NOITE/DIA SUAVE C/ABAS C/8;Drogal;8.45;10.52;Drogal;8.45;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;10.48;8.45;0
7891010607135;C;ABSORVENTE SEMPRE LIVRE ADAPT PLUS NOITE SUAVE C/ABAS C/16;Drogal;17.05;17.44;Drogal;17.05;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;19.49;17.05;0
7891010518844;C;ABSORVENTE SEMPRE LIVRE ADAPT PLUS NOITE SUAVE C/ABAS C/32;Drogal;25.35;35.04;Drogal;25.35;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;25.47;25.35;0
7891010694593;C;ABSORVENTE SEMPRE LIVRE ADAPT PLUS NOITE/DIA SECA C/ABAS C/8;Drogal;8.45;10.14;Drogal;8.45;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;10.48;8.45;0
7891010031633;C;ABSORVENTE SEMPRE LIVRE ADAPT PLUS SUAVE C/ABAS C/8;Drogal;6.29;6.11;DROGACENTRO;6.11;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;7.14;6.29;0
7891010704780;C;ABSORVENTE SEMPRE LIVRE ADAPT PLUS ULTRA SUAVE C/ABAS C/32;Drogal;18.55;21.87;Drogal;18.55;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;21.26;18.55;0
7891010793463;B;ABSORVENTE SEMPRE LIVRE ESPECIAL ADAPSUAVE C/ABAS LV16 PG14 ;Drogal;8.69;8.84;Drogal;8.69;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;10.77;8.69;0
7891010503031;B;ABSORVENTE SEMPRE LIVRE ESPECIAL ADAPT SUAVE S/ABAS C/8;Drogal;4.65;5.11;Drogal;4.65;PRINCIPAL > PERFUMARIA > HIGIENE > DESCARTAVEL-INTIMA > ABSORVENTE;5.87;4.65;0
7896213306076;B;ACETONA BEIRA ALTA 90ML;Drogaven;4.89;3.68;DROGACENTRO;3.68;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > REMOVEDOR/ACETONA;4.89;0;0
7896902209114;B;ACETONA FARMAX 100ML;Drogaven;6.23;5.26;DROGACENTRO;5.26;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > REMOVEDOR/ACETONA;6.23;0;0
7896902209138;C;ACETONA REMOVEDOR FARMAX 500ML ;Drogaven;27.7;22.71;DROGACENTRO;22.71;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > REMOVEDOR/ACETONA;27.7;0;0
7896082900351;C;ACNASE CREME 25G;Drogal;43.9;58.39;Drogal;43.9;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;50.36;43.9;0
7896523208282;B;ACNEZIL GEL 20G;Drogal;11.09;22.12;Drogal;11.09;PRINCIPAL > PERFUMARIA > BELEZA > ROSTO > classificar;16.65;11.09;0
3282770391435;C;ACTINE CONTROL GEL LIMPEZA 140G;Drogal;43.89;66.99;Drogal;43.89;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;0;43.89;0
3282770391466;C;ACTINE CONTROL GEL LIMPEZA 400G;Drogal;91.89;108.47;Drogal;91.89;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;0;91.89;0
3282770153835;D;ACTINE FRESH P SOLAR FPS60 150G;Drogal;72.79;84.69;Drogal;72.79;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;73.0;72.79;0
3282770153477;B;ACTINE GEL DE LIMPEZA 140G;Drogal;32.99;54.85;Drogal;32.99;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;55.76;32.99;0
3282770153507;C;ACTINE GEL DE LIMPEZA 400G;Drogal;74.99;112.61;Drogal;74.99;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;78.39;74.99;0
3282770207699;C;ACTINE PROTETOR SOLAR COR CLARA FPS 70 40G;Drogal;77.99;97.79;Drogal;77.99;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;79.28;77.99;0
3282770206036;C;ACTINE PROTETOR SOLAR FPS 60 40G;Drogal;54.99;90.62;Drogal;54.99;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;70.07;54.99;0
3282770144475;D;ACTINE ULTRA PROTETOR SOLAR SEM COR FPS80 40G;Drogaven;70.94;104.11;Drogaven;70.94;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO;70.94;0;0
7899706126335;C;AGUA MICELAR 200ML;Drogaven;24.4;25.97;Drogaven;24.4;PRINCIPAL > PERFUMARIA > BELEZA > MAQUIAGEM > AGUA MICELAR;24.4;0;0
7896902213043;C;AGUA MICELAR 5 EM 1 HIDRADERM 200ML;Drogaven;18.61;18.34;DROGACENTRO;18.34;PRINCIPAL > PERFUMARIA > BELEZA > MAQUIAGEM > AGUA MICELAR;18.61;0;0
7899706145190;C;AGUA MICELAR BIFASICA 200ML;Drogaven;35.18;38.26;Drogaven;35.18;PRINCIPAL > PERFUMARIA > BELEZA > MAQUIAGEM > AGUA MICELAR;35.18;0;0
4005900662019;C;AGUA MICELAR NIVEA 7 EM 1 EFEITO MATTE 200ML;Drogaven;25.96;39.17;Drogaven;25.96;PRINCIPAL > PERFUMARIA > BELEZA > MAQUIAGEM > AGUA MICELAR;25.96;0;0
7896075709879;C;ALICATE CUTICULA MERHEJE LILAS;Drogaven;9.79;9.75;DROGACENTRO;9.75;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;9.79;0;0
7896075709992;C;ALICATE CUTICULA MERHEJE ROSA;Drogal;10.79;9.75;DROGACENTRO;9.75;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;0;10.79;0
7891060679724;B;ALICATE CUTICULA MUNDIAL CLASSICO REF. 522;Drogaven;18.61;19.09;Drogaven;18.61;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;18.61;0;0
7891060773071;C;ALICATE CUTICULA MUNDIAL SANDY+DUPLEX REF.756;Drogaven;6.85;10.56;Drogaven;6.85;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;6.85;0;0
7891060969771;C;ALICATE CUTICULA MUNDIAL STYLE 758 ;Drogaven;10.77;10.81;Drogaven;10.77;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;10.77;0;0
7891060969504;B;ALICATE CUTICULAS MUNDIAL INOX PROF 777;Drogaven;29.39;39.62;Drogaven;29.39;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;29.39;0;0
7891060679731;C;ALICATE UNHA MUNDIAL;Drogal;44.35;51.0;Drogal;44.35;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > ALICATE;47.53;44.35;0
7898632473070;D;AMOLECEDOR CRAVOS E ESPINHAS LABOTRAT 50G;Drogaven;32.33;37.23;Drogaven;32.33;PRINCIPAL > PERFUMARIA > BELEZA > ROSTO > classificar;32.33;0;0
7896902205246;C;AMOLECEDOR CUTICULAS FARMAX 100ML;Drogaven;8.45;9.59;Drogaven;8.45;PRINCIPAL > PERFUMARIA > BELEZA > MAOS > AMOLECEDOR;8.45;0;0
7500435020442;C;AMPOLA TRATAMENTO PANTENE FORCA E RECONSTRUCAO C/3 15ML;Drogal;23.55;28.4;Drogal;23.55;PRINCIPAL > PERFUMARIA > CABELO > AMPOLA;0;23.55;0
7506309889375;D;AMPOLA TRATAMENTO PANTENE GOLD C/3 15ML;Drogal;23.55;28.4;Drogal;23.55;PRINCIPAL > PERFUMARIA > CABELO > AMPOLA;23.61;23.55;0
