EAN;Produto;Preço (R$);Link
7898558080826;Óleo Reparador de Pontas Sveda Argan 60ml;30.39;https://www.drogal.com.br/oleo-reparador-de-pontas-sveda-argan-60ml/p
7509546665092;Sabonete Líquido Corporal Protex Duo Protect 250ml;8.59;https://www.drogal.com.br/sabonete-liquido-protex-duo-protect-250ml/p
5038061000948;Pilha Auditiva Rayovac 10 Extra Advanced 6 Unidades;46.85;https://www.drogal.com.br/pilha-auditiva-rayovac-10-extra-advanced-6-unidades/p
7891010256388;Motilium 10mg 30 Comprimidos;37.19;https://www.drogal.com.br/motilium-10mg-30-comprimidos/p
7896658048371;Dropropizina 1,5mg/ml Biosintética Xarope Pediátrico Sabor Morango 120ml + Seringa Dosadora;8.49;https://www.drogal.com.br/dropropizina-15mgml-biosintetica-xarope-pediatrico-solucao-oral-120ml-seringa-dosadora/p
7896671693909;Condicionador Flores e Vegetais Vinagre de Maçã 310ml;16.29;https://www.drogal.com.br/condicionador-antirresiduo-flores-e-vegetais-vinagre-de-maca-310ml/p
7897947601567;Deo Colônia Íntima Puzzy By Anitta Agátta 25ml;71.39;https://www.drogal.com.br/deo-colonia-intima-puzzy-by-anitta-agatta-25ml/p
7897930777163;Kit Sabonete em Barra de Limpeza Suave Cetaphil 3 Unidades de 127g Cada;77.78;https://www.drogal.com.br/kit-sabonete-em-barra-de-limpeza-suave-cetaphil-3-unidades-de-127g-cada/p
7896015520380;Clavulin 30 Comprimidos Revestidos;205.06;https://www.drogal.com.br/clavulin-30-comprimidos-revestidos/p
7896714292779;Flavonid 900mg + 100mg 60 Comprimidos Revestidos;169.49;https://www.drogal.com.br/flavonid-900mg--100mg-60-comprimidos-revestidos/p
7898636194063;Sérum Antimarcas Cicatricure Porcelana Peeling Facial 30ml;72.39;https://www.drogal.com.br/serum-antimarcas-cicatricure-porcelana-peeling-facial-30ml/p
7891033793723;Kit Body Spray Desodorante Eudora Lyra 100ml + Loção Hidratante Desodorante Corporal Eudora Lyra 150ml;94.89;https://www.drogal.com.br/kit-body-spray-desodorante-eudora-lyra-100ml-locao-hidratante-desodorante-corporal-eudora-lyra-150ml/p
7500435154291;"Máscara Capilar Nutritiva Pantene Pro-V Bambu Nutre &amp; Cresce 600ml";42.65;https://www.drogal.com.br/mascara-de-tratamento-pantene-bambu-600ml/p
7896671693879;Máscara Flores e Vegetais Matizante Blond Violeta 200g;37.39;https://www.drogal.com.br/mascara-capilar-flores-e-vegetais-blond-matizante-250g/p
7897930777286;Hidratante Matificante Facial Dermotivin Benzac Oil Control 50ml;70.49;https://www.drogal.com.br/hidratante-matificante-facial-dermotivin-benzac-oil-control-50ml/p
7896523227443;Tadalafila 20mg Cimed 4 Comprimidos;14.49;https://www.drogal.com.br/tadalafila-20mg-cimed-4-comprimidos/p
7896685302095;Suplemento Alimentar Quitlis Sabor Tutti-Frutti 150ml;67.79;https://www.drogal.com.br/suplemento-alimentar-quitlis-sabor-tutti-frutti-150ml/p
7896009400148;Creme Fixador de Dentaduras Ultra Corega Max Sabor Menta 40g;75.79;https://www.drogal.com.br/creme-fixador-de-dentaduras-ultra-corega-sabor-menta-40g/p
7899852025506;Condicionador Intensivo Vult Cabelos Liso Profundo 325ml;7.99;https://www.drogal.com.br/condicionador-intensivo-vult-cabelos-liso-profundo-325ml/p
7899852023892;Sabonete Líquido Corporal Antiressecamento Vult Corpo Hidraluronic Conforto 200ml;17.69;https://www.drogal.com.br/sabonete-liquido-corporal-antiressecamento-vult-corpo-hidraluronic-conforto-200ml/p
7896004723570;Domperidona 10mg EMS 60 Comprimidos;16.99;https://www.drogal.com.br/domperidona-10mg-60-comprimidos-ems/p
