EAN;Produto;Preço (R$);Link
7891150037526;Shampoo Seda Pretos Luminosos 325mL;13.71;https://www.drogaven.com.br/shampoo-seda-pretos-luminosos-325ml/p
7891182018715;Esmalte Cintilante Risqué Mini Saia 8ml;5.73;https://www.drogaven.com.br/esmalte-cintilante-risque-mini-saia/p
7897780201801;Óleo Mineral 100% Rioquímica Frasco com 100mL;12.16;https://www.drogaven.com.br/oleo-mineral-100-rioquimica-frasco-com-100ml/p
7898632473322;Sabonete Corporal e Facial Labotrat Dia a Dia melancia, líquido com 190mL;19.5;https://www.drogaven.com.br/sabonete-labotrat-dia-a-dia-190ml-melancia/p
7804955001180;Creme para os Pés Eucerin UreiaRepair Plus 100mL;84.18;https://www.drogaven.com.br/creme-para-os-pes-eucerin-ureiarepair-plus-100ml/p
7891010875596;Protetor Diário Carefree sem Perfume 40 unidades;18.51;https://www.drogaven.com.br/protetor-diario-carefree-sem-perfume-40-unidades/p
7613034968364;Fórmula Infantil NAN Supreme HMO de 0 à 6 meses 800g;117.9;https://www.drogaven.com.br/formula-infantil-nan-supreme-1-0-a-6-meses-lata-com-800g/p
7896658026904;Pant 50mg/mL, caixa contendo 1 frasco com 50mL de solução de uso capilar + 1 válvula spray;79.26;https://www.drogaven.com.br/pant-5-solucao-capilar-1frasco/p
7891317123543;Ésio Comprimido 20mg, 28 comprimidos revestidos;90.0;https://www.drogaven.com.br/esio-comprimido-20mg-28-comprimidos-revestidos/p
7899572813698;Xapadinha Máscara Disciplinante 450g , Lola Cosmetics;80.39;https://www.drogaven.com.br/mascara-capilar-lola-xapadinha-diciplinante-450g/p
7898948648179;Oestrogel 0,6mg/g, tubo com válvula dosadora com 80g de gel de uso dermatológico;76.12;https://www.drogaven.com.br/oestrogel-06mgg-tubo-com-valvula-dosadora-com-80g-de-gel-de-uso-dermatologico/p
7896004701288;Hidróxido de Alumínio EMS 61,5mg/mL, frasco com 240mL de suspensão de uso oral;21.46;https://www.drogaven.com.br/hidroxido-de-aluminio-ems-615mgml-frasco-com-240ml-de-suspensao-de-uso-oral/p
7898040329082;Eximia Firmalize Aox 30 Sachês Solução Oral (13g);195.9;https://www.drogaven.com.br/eximia-firmalize-aox-embalagem-com-30-saches-contendo-13g-de-po-para-solucao-oral/p
7891142205490;Alivium 200mg/mL, frasco com gotejador com 20mL de suspensão de uso oral;56.79;https://www.drogaven.com.br/alivium-200mgml-frasco-com-gotejador-com-20ml-de-suspensao-de-uso-oral/p
7891040197514;Curativos Nexcare Para Bolhas Prova D'água 6un;33.22;https://www.drogaven.com.br/curativo-para-bolhas-nexcare-a-prova-dagua-tradicional-6-unidades/p
7896004742069;Esomeprazol Magnésico Tri-Hidratado EMS 20mg, 28 comprimidos revestidos de liberação retardada;52.44;https://www.drogaven.com.br/esomeprazol-magnesico-tri-hidratado-ems-20mg-28-comprimidos-revestidos-de-liberacao-retardada/p
7898040321291;Marevan 7,5mg, 30 comprimidos;47.52;https://www.drogaven.com.br/marevan-75mg-30-comprimidos/p
4005900522016;Sabonete Hidratante Nivea orquídeas, barra 85g;3.91;https://www.drogaven.com.br/sabonete-hidratante-nivea-orquideas-barra-85g/p
8429420079632;Protetor Solar Corporal Isdin Fotoprotector Gel Cream Wet Skin FPS50 198g;128.25;https://www.drogaven.com.br/isdin-protetor-solar-gel-creme-fps60-198g/p
7891058001667;Cloridrato de Amiodarona Medley 100mg 30 Comprimidos;16.55;https://www.drogaven.com.br/cloridrato-de-amiodarona-medley-100mg-30-comprimidos/p
7896422522663;Hemifumarato de Bisoprolol Medley 2,5mg, 30 comprimidos revestidos;29.82;https://www.drogaven.com.br/hemifumarato-de-bisoprolol-medley-25mg-30-comprimidos-revestidos/p
7899026420564;Shampoo Elseve Reparação Total 5 400mL;35.18;https://www.drogaven.com.br/shampoo-elseve-reparacao-total-5-400ml/p
7896512941923;Sabonete Líquido Granado Bebê Camomila com 250ml;30.08;https://www.drogaven.com.br/sabonete-granado-glic-250ml-camomila/p
7500435260251;Shampoo Pantene Pro-V Science Molecular Bond Repair 300mL;29.3;https://www.drogaven.com.br/shampoo-pantene-300ml-bond-repair/p
7896004730189;Cloridrato de Ciclobenzaprina EMS 10mg, caixa com 30 comprimidos revestidos;21.18;https://www.drogaven.com.br/ciclobenzaprina-10mg-30cpr-ems-generico/p
7896018750838;Shampoo Infantil Huggies Kids Brilho Mágico Ariel 360ml;24.4;https://www.drogaven.com.br/shampoo-infantil-huggies-kids-brilho-magico-ariel-360ml/p
7891142981363;Predsim Comprimido 20mg, 10 comprimidos;36.88;https://www.drogaven.com.br/predsim-20mg-10cpr/p
7898912665126;Leave-in Haskell Mandioca 240g;63.6;https://www.drogaven.com.br/leave-in-haskell-mandioca-240g/p
7898270217142;Meia Coxa Sigvaris 863 AF Helanca G Normal 30-40mmHg;370.77;https://www.drogaven.com.br/meia-sigvaris-premium-78-gg2-20-30mmhg-sponteira/p
7896877601463;Fralda Geriátrica Suavidade EG, pacote com 26 unidades;79.37;https://www.drogaven.com.br/fralda-geriatrica-suavidade-eg-pacote-com-26-unidades/p
7894222029757;Lenço Micelar Demaquilante Dailus 25 unidades;24.49;https://www.drogaven.com.br/lenco-micelar-demaquilante-dailus-25-unidades/p
7891317464004;Noex 100mcg/dose, frasco com 100 doses de suspensão de uso nasal;73.76;https://www.drogaven.com.br/noex-100mcgdose-frasco-com-100-doses-de-suspensao-de-uso-nasal/p
7896004774527;Nitazoxanida Germed Pharma 20mg/mL, frasco com pó para suspensão de uso oral (frasco com capacidade de 45mL) + seringa dosadora;21.11;https://www.drogaven.com.br/nitazoxanida-germed-pharma-20mgml-frasco-com-po-para-suspensao-de-uso-oral-frasco-com-capacidade-de-45ml-seringa-dosadora/p
7896637033015;Xafac 20mg, 28 comprimidos revestidos;180.24;https://www.drogaven.com.br/xafac-20mg-28-comprimidos-revestidos/p
7896637025096;Miosan Caf 5mg + 30mg, 15 comprimidos revestidos;28.24;https://www.drogaven.com.br/miosan-caf-5mg-30mg-15-comprimidos-revestidos/p
7896004794075;Fexofenadina Suspensão Ems Genérico 150mL;70.73;https://www.drogaven.com.br/fexofenadina-suspensao-150ml-ems-generico/p
7896112400189;Doss 50000UI, 12 cápsulas moles;122.9;https://www.drogaven.com.br/doss-50000ui-12-capsulas-moles/p
4005900995520;Protetor Solar Facial Fluido FPS 60 Eucerin Hydro Fluid 50mL;117.5;https://www.drogaven.com.br/eucerin-sun-hydro-fluid-fps60-50ml/p
7894222037752;LIP GLITTER DAILUS HOLO BOMB;19.5;https://www.drogaven.com.br/lip-glitter-dailus-holo-bomb/p
7891268402025;Benalet 5mg + 50mg + 10mg, 12 pastilhas, sabor mel e limão;39.16;https://www.drogaven.com.br/benalet-5mg-50mg-10mg-12-pastilhas-sabor-mel-e-limao/p
7899674027467;Desodorante Antitranspirante Aerosol Above Men Vulcan 48h 150ml;10.68;https://www.drogaven.com.br/desodorante-above-aero-men-vulcan-150ml/p
7894222042596;Mascara de Cílios DAILUS Preto Peel- Off Panda;54.78;https://www.drogaven.com.br/mascara-dailus-peel-off-panda-preta/p
7896658018862;Esalerg 0,5mg/mL, frasco com 100mL de xarope + 1 seringa dosadora;89.19;https://www.drogaven.com.br/esalerg-05mgml-frasco-com-100ml-de-xarope-1-seringa-dosadora/p
7899420508721;Suplemento Alimentar Supera Multi-BI Fibras 15 Sachês 5g;153.35;https://www.drogaven.com.br/multi-bi-fibras-15sticks-5g/p
7896006238560;DK2 Cal frasco com 60 comprimidos;109.54;https://www.drogaven.com.br/dk2-cal-frasco-com-60-comprimidos/p
5413787041794;Zyxem 5mg, 10 comprimidos revestidos;71.36;https://www.drogaven.com.br/zyxem-5mg-10-comprimidos-revestidos/p
7896671601324;Shampoo Flores & Vegetais Sete Ervas 300mL;33.22;https://www.drogaven.com.br/shampoo-flores-vegetais-sete-ervas-300ml/p
7896094929111;Creme Antiassaduras Nebacetin Baby Regeneração 60g;60.26;https://www.drogaven.com.br/nebacetin-baby-creme-regeneracao-60g/p
7898040329181;Fortalize S Exímia 30 comprimidos;195.9;https://www.drogaven.com.br/fortalize-s-eximia-30-comprimidos/p
7891150102583;Condicionador Dove Reconstrução Aminoácido 600ml;48.57;https://www.drogaven.com.br/condicionador-dove-reconstrucaoaminoacido-600ml/p
