EAN;Menor preço (R$);Origem;Produto;Link
7896676433425;47.99;Drogal;Tobracin 3mg/g Latinofarma Pomada Oftálmica 3,5g;https://www.drogal.com.br/tobracin-3mgg-latinofarma-pomada-oftalmica-35g/p
7896641813061;158.49;Drogal;Mesacol 500mg 15 Supositórios;https://www.drogal.com.br/mesacol-500mg-15-supositorios/p
7908236800568;536.39;Drogal;Efexor XR 150mg 30 Cápsulas Duras Liberação Prolongada;https://www.drogal.com.br/efexor-xr-150mg-30-capsulas-gelatinosas-duras/p
7899026417885;33.69;Drogal;Shampoo Elseve Colorvive 400ml;https://www.drogal.com.br/shampoo-elseve-colorvive-400ml/p
7896112416418;17.09;Drogal;Ecasil 81mg 30 Comprimidos Revestidos;https://www.drogal.com.br/ecasil-81mg-30-comprimidos-revestidos/p
7612412156003;41.09;Drogal;Escova Dental Curaprox 1560 Soft 1 Unidade;https://www.drogal.com.br/escova-dental-curaprox-1560-soft-1-unidade/p
7898089300042;42.29;Drogal;Pílulas Imescard 10 + 10 + 10 + 30mg caixa com 36 drágeas;https://www.drogal.com.br/imescard-pilulas-c36/p
7891040346226;8.49;Drogal;Curativo Nexcare Transparente 10 Unidades;https://www.drogal.com.br/curativo-nexcare-transparente-10-unidades/p
7891150081086;38.35;Drogal;Condicionador Dove Poder das Plantas Purificação + Gengibre 300ml;https://www.drogal.com.br/condicionador-dove-poder-das-plantas-purificacao-gengibre-300ml/p
7894222043128;10.77;Drogaven;ESMALTE DAILUS DAI GOODS IOGURTE CREMOSO;https://www.drogaven.com.br/esmalte-dailus-dai-goods-iogurte-cremoso/p
7896637035460;171.39;Drogal;Dobeven 500mg 60 Cápsulas Gelatinosas Duras;https://www.drogal.com.br/dobeven-500mg-60-capsulas-gelatinosas-duras/p
7894222043067;10.89;Drogal;Esmalte Cremoso Dailus Dai Goods Fru Fru 8ml;https://www.drogal.com.br/esmalte-cremoso-dailus-dai-goods-fru-fru-8ml/p
7896006201687;9.89;Drogal;Neovlar 21 Comprimidos Revestidos;https://www.drogal.com.br/neovlar-21-comprimidos-revestidos/p
