EAN;Menor preço (R$);Origem;Produto;Link;Drogaven;Drogal;DrogaRaia
7891317017392;39.99;Drogal;Cloridrato de Sertralina 100mg Eurofarma 30 Comprimidos Revestidos;https://www.drogal.com.br/cloridrato-de-sertralina-100mg-eurofarma-30-comprimidos-revestidos/p;0.0;39.99;0
7896112102519;12.19;Drogal;Metronidazol 250mg Teuto 20 Comprimidos;https://www.drogal.com.br/metronidazol-250mg-teuto-20-comprimidos/p;0.0;12.19;0
7898949409762;47.89;Drogal;Gel para Cicatrizes Cicatricure Rosto e Corpo 60g;https://www.drogal.com.br/gel-para-cicatrizes-cicatricure-rosto-e-corpo-60g/p;0.0;47.89;0
3600524057336;127.79;Drogal;"Sérum Facial Antirrugas L&apos;Oréal Paris Revitalift Retinol Noturno 30ml";https://www.drogal.com.br/serum-facial-antirrugas-loreal-paris-revitalift-retinol-noturno-30ml/p;0.0;127.79;0
7791293012087;14.89;Drogal;Desodorante Antitranspirante Aerosol Dove Men+Care Cuidado Total 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-dove-mencare-cuidado-total-150ml/p;0.0;14.89;0
7898560665097;174.69;Drogal;Thioctacid 600 HR 30 Comprimidos Revestidos;https://www.drogal.com.br/thioctacid-hr-600mg-30-comprimidos-revestidos/p;0.0;174.69;0
7896714274799;35.19;Drogal;Blumel Hedera 15mg/ml Xarope Pediátrico 100ml;https://www.drogal.com.br/blumel-hedera-15mgml-xarope-pediatrico-100ml/p;0.0;35.19;0
7896641813061;142.99;Drogal;Mesacol 500mg 15 Supositórios;https://www.drogal.com.br/mesacol-500mg-15-supositorios/p;0.0;142.99;0
7897322709468;40.3;Drogal;Addera D3 7.000ui 4 Comprimidos Revestidos;https://www.drogal.com.br/addera-d3-7000ui-4-comprimidos-revestidos/p;0.0;40.3;0
7891317464004;73.39;Drogal;Noex 100mcg Suspensão em Spray Nasal 100 Doses;https://www.drogal.com.br/noex-100mcg-suspensao-em-spray-nasal-100-doses/p;0.0;73.39;0
7891350040036;9.35;Drogal;Esmalte Cremoso Risqué Reinvente o Normal Padrãozinho pra Quem? 8ml;https://www.drogal.com.br/esmalte-cremoso-risque-padraozinho-pra-quem-8ml/p;0.0;9.35;0
7896004722122;12.99;Drogal;Aceclofenaco 100mg EMS 12 Comprimidos Revestidos;https://www.drogal.com.br/aceclofenaco-100mg-ems-12-comprimidos-revestidos/p;0.0;12.99;0
7896006290483;32.69;Drogal;Maxinom 1mg/g + 5mg/g + 1mg/g pomada oftálmica bisnaga com 35g;https://www.drogal.com.br/maxinom-pom-35gr/p;0.0;32.69;0
7896422522823;9.59;Drogal;Simeticona 40mg Medley 20 Comprimidos;https://www.drogal.com.br/simeticona-40mg-20-comprimidos-medley/p;0.0;9.59;0
4006000019338;17.29;Drogal;Desodorante Antitranspirante Aerossol Nivea Men Fresh Active 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerossol-nivea-men-fresh-active-150ml/p;0.0;17.29;0
7899706197502;24.99;Drogal;"Creme para Pentear Nutritivo L&apos;Oréal Paris Elseve Cachos Longos dos Sonhos 250ml";https://www.drogal.com.br/creme-para-pentear-nutritivo-loreal-paris-elseve-cachos-longos-dos-sonhos-250ml/p;0.0;24.99;0
7896006212386;37.79;Drogal;Creme Dermon sem Perfume 20g;https://www.drogal.com.br/dermon-creme-20g/p;0.0;37.79;0
7894916513166;95.69;Drogal;Bupium Xl 150mg 30 Comprimidos;https://www.drogal.com.br/bupium-xl-150mg-30-comprimidos/p;0.0;95.69;0
7891150043084;27.35;Drogal;Kit Seda Ceramidas Shampoo 325ml + Condicionador 325ml;https://www.drogal.com.br/kit-seda-ceramidas-shampoo-325ml-condicionador-325ml/p;0.0;27.35;0
7891721027451;33.89;Drogal;Glifage XR 750mg 30 Comprimidos de Liberação Prolongada;https://www.drogal.com.br/glifage-xr-750mg-30-comprimidos-de-liberacao-prolongada/p;0.0;33.89;0
7896658034978;57.69;Drogal;Solução Capilar Pant 50mg/ml Refil 50ml;https://www.drogal.com.br/solucao-capilar-pant-50mgml-refil-50ml/p;0.0;57.69;0
7891058000165;29.09;Drogal;Analgésico e Antitérmico Novalgina 500mg/ml Gotas 20ml;https://www.drogal.com.br/analgesico-e-antitermico-novalgina-500mg-ml-gotas-20ml/p;0.0;29.09;0
7897930763005;90.49;Drogal;Sabonete Líquido Dermotivin Salix 300ml;https://www.drogal.com.br/sabonete-liquido-dermotivin-salix-300ml/p;0.0;90.49;0
7897411650558;100.19;Drogal;Desventag 50mg 30 Comprimidos Revestidos de Liberação Prolongada;https://www.drogal.com.br/desventag-50mg-30-comprimidos-revestidos-de-liberacao-prolongada/p;0.0;100.19;0
7891010030452;19.99;Drogal;"Condicionador Johnson&apos;s Baby Regular 200ml";https://www.drogal.com.br/condicionador-johnsons-baby-regular-200ml/p;0.0;19.99;0
7899026420571;18.52;Drogaven;Condicionador Elseve Reparação Total 5+ 200mL;https://www.drogaven.com.br/condicionador-elseve-reparacao-total-5-200ml/p;18.52;0.0;0
7896007550463;5.55;Drogal;Protetor Diário Intimus Tecnologia Antibacteriana 15 Unidades;https://www.drogal.com.br/protetor-diario-intimus-tecnologia-antibacteriano-15-unidades/p;0.0;5.55;0
7899095203532;22.09;Drogal;Cisteil 20mg/ml Xarope Solução Oral Sabor Framboesa 120ml + 1 Copo Dosador;https://www.drogal.com.br/cisteil-20mgml-120ml/p;0.0;22.09;0
